Release year,Cohort,Location,Identity,ABBBS,Band,start_date
2022,Resident,MTR,Aurora,111-11202,Yellow I8,25/10/2022
2022,Resident,MTR,Robin,111-11203,Blue K4,25/10/2022
2022,Resident,MTR,Briar,200-18829,Blue K7,29/10/2022
2022,Resident,MTR,Nutmeg,111-11201,Blue K5,29/10/2022
2022,Resident,MTR,Star,200-18823,Yellow I7,29/10/2022
2022,Resident,MTR,Iona,200-18826,Yellow I0,14/12/2022
2022,Resident,MTR,Koda,200-18824,Blue K9,14/12/2022
2022,Resident,MTR,Sage,200-18827,Green J8,14/12/2022
2022,Resident,MTR,Prem,100-97873,Blue K2,12/01/2023
2022,Resident,MTR,Rove,200-18820,Yellow I1,12/01/2023
2022,Resident,MTR,Marmalade,200-18830,Yellow I3,13/01/2023
2022,Resident,MTR,Valentine,200-18828,Green J4,13/01/2023
2022,Resident,MTR,Brook,200-18834,Green J9,16/01/2023
2022,Resident,MTR,Clover,100-97872,Blue K8,16/01/2023
2022,Resident,MTR,Wobbles,200-18831,Yellow I2,16/01/2023
2023,Reinforcing,MTR,Fauna,100-97878,Yellow I5,7/06/2023
2023,Reinforcing,MTR,Jessie,111-11211,W-Y/G,7/06/2023
2023,Reinforcing,MTR,Sofi,111-11212,W-R/N,7/06/2023
2023,Reinforcing,MTR,Timber,111-11210,W-W/B,7/06/2023
2023,Reinforcing,MTR,Daisy,111-11213,Green J5,8/06/2023
2023,Reinforcing,MTR,Kit,100-97871,Green J7,8/06/2023
2023,Reinforcing,MTR,Rowan,111-11205,Blue K1,8/06/2023
2023,Reinforcing,MTR,Sparkles,100-98789,Yellow I9,8/06/2023
2023,Reinforcing,MTR,Athena,100-97880,W-G/W,9/06/2023
2023,Reinforcing,MTR,Maeve,111-11216,W-G/G,9/06/2023
2023,Reinforcing,MTR,River,091-45319,Yellow G9,9/06/2023
2023,Reinforcing,MTR,Rocky,111-11217,Blue K0,9/06/2023
2023,Reinforcing,MTR,Avery,111-11219,Yellow G0,10/06/2023
2023,Reinforcing,MTR,Dawn,100-97883,W-W/Y,10/06/2023
2023,Reinforcing,MTR,Freckle,111-11214,W-N/B,10/06/2023
2023,Reinforcing,MTR,Loki,111-11220,W-N/N,10/06/2023
2023,Reinforcing,MTR,Juniper,111-07342,W-N/G,11/06/2023
2023,Reinforcing,MTR,Riley,100-97882,W-Y/Y,11/06/2023
2023,Reinforcing,MTR,Rory,270-08672,W-R/Y,11/06/2023
2023,Reinforcing,MTR,Zeus,100-97887,W-W/W,11/06/2023
