"id","weighted_edges","closeness","eigenvector"
"Athena",6082,0.0439024390243902,0.517450695397198
"Aurora",3053,0.043338683788122,0.243694978132379
"Avery",4048,0.0263157894736842,0.460146003606957
"Daisy",555,0.0528375733855186,0.0568225848106867
"Dawn",2173,0.0425867507886435,0.20283102153969
"Fauna",7365,0.0265486725663717,0.911076248158715
"Freckle",2951,0.0504672897196262,0.24314207641084
"Iona",4015,0.0214626391096979,0.315780141745103
"Jessie",7772,0.0305775764439411,0.648695012757572
"Juniper",5366,0.0227848101265823,0.471517420593021
"Kit",6385,0.0297029702970297,0.551329548322817
"Koda",2783,0.0504672897196262,0.225057618613189
"Loki",5810,0.0262645914396887,0.70329387790654
"Maeve",4958,0.0365853658536585,0.56962223861963
"Marmalade",2250,0.0275229357798165,0.162279324516506
"Nutmeg",2976,0.0277207392197125,0.230739191109035
"Riley",3092,0.0504672897196262,0.257716794431295
"River",5821,0.0101427498121713,0.49292975028772
"Robin",4143,0.038961038961039,0.329055453175686
"Rocky",6338,0.018815331010453,0.693847321008252
"Rory",5469,0.0418604651162791,0.630062134641083
"Rowan",8405,0.0444810543657331,1
"Sage",1361,0.0520231213872832,0.119456458026529
"Sofi",5214,0.0154639175257732,0.592645793076733
"Sparkles",5834,0.0452261306532663,0.52284498299639
"Timber",4588,0.0180120080053369,0.387358763836583
"Valentine",3267,0.0226130653266332,0.265211469079514
"Zeus",4968,0.0326086956521739,0.602955406394469
